allBurn,allMint,balanceOfByPartition,issueTotalByPartition,msgSender,owner,redeemTotalByPartition,totalBalancesByPartition,,totalSupply,totalSupplyByPartition
balanceOfByPartition,issueTotalByPartition,msgSender,owner,redeemTotalByPartition,totalBalancesByPartition,totalSupply,,totalSupplyByPartition
balanceOfByPartition,msgSender,owner,totalBalancesByPartition,totalSupply,totalSupplyByPartition,
allBurn,allMint,balanceOfByPartition,msgSender,owner,totalBalancesByPartition,totalSupplyByPartition,,totalSupply
allBurn,allMint,issueTotalByPartition,msgSender,owner,redeemTotalByPartition,totalBalancesByPartition,totalBurn,totalIn,totalMint,totalOut,,totalSupply,totalSupplyByPartition,balanceOfByPartition
allBurn,allMint,msgSender,owner,totalBalancesByPartition,totalBurn,totalIn,totalMint,totalOut,totalSupplyByPartition,,totalSupply,balanceOfByPartition
issueTotalByPartition,msgSender,owner,redeemTotalByPartition,totalBalancesByPartition,totalBurn,totalIn,totalMint,totalOut,totalSupply,,totalSupplyByPartition,balanceOfByPartition
msgSender,owner,totalBalancesByPartition,totalBurn,totalIn,totalMint,totalOut,totalSupply,totalSupplyByPartition,,balanceOfByPartition
